Country,Year,Emissions,Create_Date,Date_only,Time_only
USA,2020,5000.0,2025-12-09 08:30:00,2025-12-09,08:30:00
China,2021,150.0,2025-12-09 08:30:00,2025-12-09,08:30:00
India,2022,2300.0,2025-12-09 08:30:00,2025-12-09,08:30:00
Nepal,2020,150.0,2025-12-10 08:30:00,2025-12-10,08:30:00
Japan,2021,150.0,2025-12-11 08:30:00,2025-12-11,08:30:00
UK,2022,1200.0,2025-12-12 08:30:00,2025-12-12,08:30:00
Germany,2020,900.0,2025-12-13 08:30:00,2025-12-13,08:30:00
France,2021,850.0,2025-12-14 08:30:00,2025-12-14,08:30:00
Brazil,2022,150.0,2025-12-15 08:30:00,2025-12-15,08:30:00
Canada,2020,700.0,2025-12-16 08:30:00,2025-12-16,08:30:00
Australia,2021,150.0,2025-12-17 08:30:00,2025-12-17,08:30:00
Russia,2022,1500.0,2025-12-18 08:30:00,2025-12-18,08:30:00
Italy,2020,800.0,2025-12-19 08:30:00,2025-12-19,08:30:00
Spain,2021,780.0,2025-12-20 08:30:00,2025-12-20,08:30:00
South Africa,2022,150.0,2025-12-21 08:30:00,2025-12-21,08:30:00
